sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar2,30,45,52,,पहाड़पुर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,30,45,53,,पिपरसण्ड,0101 बिजनौर,,7000,7700,8400,9200,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,30,45,54,,पिपरसण्ड (संतुष्टि इन्क्लेव),0101 बिजनौर,,8000,8000,9000,10000,25000,27000,30000,29000,28000,,,,,,,
sarojininagar2,30,45,55,,पुरैना,0113 परगना काकोरी,,2500,2700,3300,3800,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,30,45,56,,प्यारेपुर,0101 परगना काकोरी,,5000,5500,6000,6500,20000,22000,25000,24000,23000,,100,90,,100,72,code 0101 printed with name परगना काकोरी (code/name mismatch as printed)
sarojininagar2,31,46,57,,प्यारेपुर (अनन्त नगर योजना),0101 परगना काकोरी,,15000,16000,17000,18000,25000,27000,30000,29000,28000,,,,,,,code 0101 printed with name परगना काकोरी (code/name mismatch as printed)
sarojininagar2,31,46,58,,फतेहगंज,0113 परगना काकोरी,,6000,6500,7000,7500,20000,22000,25000,24000,23000,,168,150,,168,120,
sarojininagar2,31,46,59,,फर्रूखाबाद चिल्लावां,0010 हिन्दनगर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,370,330,,370,265,
sarojininagar2,31,46,60,,बदाली खेड़ा,0010 हिन्दनगर,,9500,10000,11000,12000,24000,26000,37000,30000,27000,,440,394,,440,315,
sarojininagar2,31,46,61,,बनी,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,31,46,62,,बन्थरा सिकन्दरपुर,0101 बिजनौर,,4500,5000,5500,6000,18000,20000,24000,22000,21000,,84,75,,84,60,
sarojininagar2,31,46,63,,बरकताबाद जहांगीराबाद,0113 परगना काकोरी,,4500,5000,5500,6000,20000,22000,25000,24000,23000,,95,85,,95,68,
sarojininagar2,31,46,64,,बरगवा (बारा बिरवा),0010 हिन्दनगर,,12000,13000,14000,15000,24000,26000,37000,30000,27000,,,,,,,
sarojininagar2,31,46,65,,बल्दी खेड़ा,0010 हिन्दनगर,,10000,11000,12000,13000,24000,26000,37000,30000,27000,,,,,,,
sarojininagar2,31,46,66,,बहदनामऊ,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,31,46,67,,बापू नगर,0203 सरोजनी नगर वार्ड,,7500,8200,9000,10000,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,31,46,68,,बेंती,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,31,46,69,,बेलवा,0113 परगना काकोरी,,5000,5500,6000,6600,20000,22000,25000,24000,23000,,95,85,,95,68,
sarojininagar2,31,46,70,,बेहटवा,0202 सरोजनी नगर वार्ड,,7000,7500,8000,8500,24000,26000,29000,28000,27000,,330,294,,330,235,
sarojininagar2,32,47,71,,बेहटा,0101 बिजनौर,,4000,4500,5000,5500,20000,22000,25000,24000,23000,,98,88,,98,70,
sarojininagar2,32,47,72,,बेहसा,0003 सरोजनी नगर वार्ड,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,440,394,,440,315,
sarojininagar2,32,47,73,,भटगवां पाण्डेय,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
