sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,48,129,58,0228,चमरही,ward 027 राजीव गांधी,नगरीय क्षेत्र,10000,16000,17000,19000,30000,32500,48500,38500,33000,,,,,,,
sadar2,48,129,59,0296,चाइना बाजार,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,15000,16000,17000,18500,30000,32500,61500,49500,39500,,,,,,,
sadar2,49,129,60,0222,चक्करपुरवा,ward 026 निशातगंज,नगरीय क्षेत्र,9000,9000,9500,10000,30000,32500,38500,33000,30500,,,,,,,
sadar2,49,130,61,0295,चौलक्खी,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,15000,16000,17000,18000,30000,32500,61500,49500,39500,,,,,,,
sadar2,49,130,62,0245,चक मल्हौरी,ward 028 चिनहट,नगरीय क्षेत्र,9000,9000,9500,10000,30000,32500,41500,36000,32000,,,,,,,
sadar2,49,130,63,1062,चन्दियामऊ,ward 111 लखनऊ,नगरीय क्षेत्र,5000,5500,6050,6500,24000,26500,30500,26500,25000,,177,158,,177,127,
sadar2,49,130,64,0277,चकबस्त रोड,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,48500,38500,33000,,,,,,,
sadar2,49,130,65,0242,चिनहट,ward 028 चिनहट,नगरीय क्षेत्र,10000,11000,11000,12500,30000,32500,41500,36000,32000,,,,,,,
sadar2,49,131,66,0353,छेदी लाल धर्मशाला रोड,ward 036 अमीनाबाद,नगरीय क्षेत्र,25000,27500,28000,30000,30000,32500,85000,66000,53000,,,,,,,
sadar2,50,131,67,0354,जंगलीगंज,ward 036 अमीनाबाद,नगरीय क्षेत्र,18000,19500,20500,23000,30000,32500,61500,49500,39500,,,,,,,
sadar2,50,131,68,0298,जगदीशचन्द्र बोस मार्ग,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,20000,22000,22000,24000,30000,32500,61500,49500,39500,,,,,,,
sadar2,50,131,69,1052,जेहटा,ward 111 लखनऊ,नगरीय क्षेत्र,6500,7000,7500,8300,25000,27500,23000,22000,20500,,110,98,,110,80,
sadar2,50,131,70,0305,जुगौली बडी छोटी,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,41500,36000,32000,,,,,,,
sadar2,50,132,71,1131,जुग्गौर (बी0बी0डी0 ग्रीन सिटी),ward 111 लखनऊ,अर्द्धनगरीय,19500,22000,22500,24500,25000,27500,77000,61500,47500,,,,,,,
sadar2,51,132,72,1132,ऋषि उद्यान (जुग्गौर),ward 111 लखनऊ,अर्द्धनगरीय,10000,9000,9500,10000,25000,27500,34000,27500,22000,,,,,,,"<9 m 10000 higher than 9-12 m 9000; verified on scan, clearly printed (source inconsistency)"
