sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar,41,60,73,,बिरुरा,101 इब्राहिमपुर,,4000,4500,5000,5500,24000,26000,40000,35000,30000,,105,95,,105,75,pargana code 101/name mismatch as printed
sarojininagar,41,60,74,,बीबीपुर,101 बिजनौर,,2500,3000,3500,4000,20000,22000,30000,25000,23000,,180,170,,180,130,
sarojininagar,41,60,75,,भदरूख,005 शारदा नगर,,13000,14000,15000,16000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,41,60,76,,भगवन्त नगर,001 इब्राहिमपुर,,5500,6000,7000,7500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,41,60,77,,भागूखेडा,101 बिजनौर,,2500,3000,3500,4000,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,41,60,78,,मलाक,101 इब्राहिमपुर,,8000,9000,10000,11000,22000,24000,35000,30000,25000,,180,170,,180,130,pargana code 101/name mismatch as printed
sarojininagar,41,60,79,,मुराव खेड़ा,101 शारदा नगर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,pargana code 101/name mismatch as printed
sarojininagar,41,60,80,,मुशी खेड़ा,003 राजा बिजली पासी,,6500,7500,8500,9000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,41,60,81,,मुजफ्फरनगर घुसवल,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,155,145,,155,110,
sarojininagar,42,60,82,,मस्ती खेड़ा,003 राजा बिजली पासी,,6500,7500,8500,9000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,42,60,83,,मखदूमपुर कैथी,101 बिजनौर,,2500,3000,3500,4000,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,42,60,84,,माती,101 बिजनौर,,6500,7000,8000,9000,24000,26000,35000,30000,28000,,155,145,,155,110,
sarojininagar,42,61,85,,मोहारी बाग,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,42,61,86,,मेमौरा,101 बिजनौर,,2500,3000,3500,4000,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,42,61,87,,मिर्जा पुर,003 राजा बिजली पासी,,6500,7000,8000,9000,26000,28000,40000,35000,30000,,450,410,,440,315,
sarojininagar,42,61,88,,यूसुफ नगर उर्फ बगियामऊ,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,105,95,,105,75,
sarojininagar,42,61,89,,रसूलपुर इठुरिया,101 शारदा नगर,,4000,4500,5000,5500,24000,26000,35000,30000,28000,,105,95,,105,75,pargana code 101/name mismatch as printed
sarojininagar,42,61,90,,रहीमाबाद,003 राजा बिजली पासी,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,440,394,,440,315,
sarojininagar,43,61,91,,राम टोला,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,43,61,92,,रायबरेली रोड योजना,005 शारदा नगर,,25000,28000,31000,34000,26000,28000,50000,40000,35000,,,,,,,
sarojininagar,43,61,93,,रतौली,101 बिजनौर,,2500,2500,3000,3500,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,43,61,94,,रथीन्द्र नगर,002 खरिका,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,43,61,95,,लौंगा खेड़ा,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,43,61,96,,लिलमथा,001 इब्राहिमपुर,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,43,62,97,,वृन्दावन योजना,001 इब्राहिमपुर,,28000,31000,34000,37000,30000,34000,50000,45000,40000,,,,,,,
sarojininagar,43,62,98,,शकूरपुर,001 इब्राहिमपुर,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,43,62,99,,शारदा कैनाल कालोनी,010 शारदा नगर,,13000,14000,15000,16000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,44,62,100,,शारदा नगर,005 शारदा नगर,,25000,28000,31000,34000,26000,28000,50000,40000,35000,,,,,,,
sarojininagar,44,62,101,,शारदा नगर योजना,005 शारदा नगर,,25000,28000,31000,34000,26000,28000,50000,40000,35000,,,,,,,
sarojininagar,44,62,102,,शान्तिनगर,0207 राजा बिजली पासी,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,pargana code 0207/name mismatch as printed
sarojininagar,44,62,103,,शाहपुर मझगवां,101 बिजनौर,,2500,2500,3000,3500,20000,22000,35000,30000,25000,,50,45,,50,35,
sarojininagar,44,62,104,,शीतलखेड़ा,005 शारदा नगर,,5000,5500,6500,7000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,44,62,105,,शिव बिहार,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,44,62,106,,सरैयॉ,101 बिजनौर,,2500,2500,3000,3500,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,44,62,107,,सरसवां/अर्जुनगंज,111 इब्राहिमपुर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,215,200,,215,155,pargana code 111/name mismatch as printed
sarojininagar,44,62,108,,सरस्वती पुरम,001 इब्राहिमपुर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,45,63,109,,सरपोटगंज,005 शारदा नगर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,45,63,110,,सालेह नगर,005 शारदा नगर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,45,63,111,,सुशान्त सिटी (सेक्टर-ए से ई तक),001 इब्राहिमपुर,,35000,39000,43000,47000,30000,34000,75000,70000,65000,,,,,,,
sarojininagar,45,63,112,,सुशान्त सिटी (सेक्टर-एफ से आई तक),001 इब्राहिमपुर,,25000,28000,31000,34000,30000,34000,70000,65000,60000,,,,,,,
sarojininagar,45,63,113,,सुशान्त सिटी (सेक्टर-जे से एम तक),001 इब्राहिमपुर,,21000,23000,25000,28000,30000,34000,65000,60000,55000,,,,,,,
sarojininagar,45,63,114,,सुभानी खेड़ा,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,45,63,115,,सुभाष नगर,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,45,63,116,,सेंवई,101 बिजनौर,,6500,7500,8000,8500,24000,26000,35000,30000,27000,,155,145,,155,110,
sarojininagar,45,63,117,,सेनानी बिहार,002 खरिका,,14000,15000,16000,17000,26000,28000,45000,40000,35000,,,,,,,
sarojininagar,46,63,118,,सैनिक नगर,002 खरिका,,14000,15000,16000,17000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,46,63,119,,साउथ सिटी,005 शारदा नगर,,25000,28000,31000,34000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,46,63,120,,हसनपुर खेवली,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,155,145,,155,110,
sarojininagar,46,64,121,,हरिहरपुर,101 इब्राहिमपुर,,12000,13000,14000,15000,30000,34000,45000,40000,35000,,180,170,,180,130,pargana code 101/name mismatch as printed
sarojininagar,46,64,122,,हैबतमऊ मवैया,001 इब्राहिमपुर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,
