sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
bikapur,49,116,1116,तरहरा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,49,117,1117,तारून,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,49,118,1118,ताजपुर,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,49,119,1119,तारडीह,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,120,1120,तारापुर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,50,121,1121,तिवारीपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,122,1122,तेन्दुआमाफी,,अर्द्धनगरीय,12000,21000,28000,65000,60000,55000,160,115,100,90,120,60,
bikapur,50,123,1123,तोरोमाफी,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,50,124,1124,थरियाकलां,,ग्रामीण,5000,7000,8500,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,125,1125,दिलीपपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,126,1126,दरियापुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,127,1127,दशरथपुर,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,50,128,1128,दसलावन,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,129,1129,दयालजोत,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,130,1130,दॉदूपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,131,1131,दुबॉवा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,132,1132,देवापुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,133,1133,देवकलीमाफी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,134,1134,देवरीमु0ढ़ेमाबैश्य,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,135,1135,देवापट्टी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,136,1136,देवरीरंजीतसिंह,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,137,1137,दोस्तग्रामपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,138,1138,दौदहा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,139,1139,धमहर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,140,1140,धरेठादशरथपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,141,1141,धेनुवॉवा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,50,142,1142,धर्मपुरमु0पारागरीबशाह,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,143,1143,धर्मपुरमु0घूरीटीकर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,51,144,1144,धौरहराकुटी,,ग्रामीण(वि0),6500,9000,10500,45000,40000,35000,138,100,85,68,90,45,
bikapur,51,145,1145,न्यूना पूरब,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,146,1146,न्यूनापश्चिम,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,147,1147,नरायनपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,51,148,1148,नसरतपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,149,1149,नथनपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,51,150,1150,नदौना,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
