sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sohawal,37,112,1112,महोली माझा,,ग्रामीण,1500,1800,3000,27500,24500,21500,37,23,21,19,25,13,
sohawal,37,113,1113,मिश्रौली,,ग्रामीण,3000,4000,5200,29800,26800,23800,74,44,38,35,48,27,
sohawal,37,114,1114,मधुपुर,,ग्रामीण,3600,4700,6200,31000,29000,25000,83,48,40,38,52,29,
sohawal,37,115,1115,मीरपुर काटा,,ग्रामीण,5300,6800,8500,31500,28500,25500,137,80,55,50,90,45,
sohawal,37,116,1116,मोईयाकपूरपुर,,ग्रामीण,5700,6700,12000,37000,34000,31000,141,77,72,66,90,45,
sohawal,37,117,1117,मगलसी उपरहर,,ग्रामीण,6100,10000,12800,40000,35000,32000,134,78,70,64,89,45,
sohawal,37,118,1118,मगलसी माझा,,ग्रामीण,1500,1800,2900,28000,25000,22000,35,22,22,20,24,13,
sohawal,37,119,1119,मजनावा,,ग्रामीण,4200,4400,5700,30000,27000,24000,119,69,61,56,78,38,
sohawal,37,120,1120,रग्घुपुर,,अर्द्धनगरीय,4200,5500,6700,33000,31000,28000,97,57,50,48,64,33,
sohawal,37,121,1121,रायपुर,,अर्द्धनगरीय,5200,6900,8700,34000,31000,28000,154,88,73,66,99,51,
sohawal,37,122,1122,रामपुर कछार,,ग्रामीण,2800,3600,4600,30000,27000,24000,67,40,35,34,43,23,
sohawal,37,123,1123,रहीमपुर बैदौली,,ग्रामीण,3600,4600,6200,30000,27000,24000,81,48,41,38,52,27,
sohawal,37,124,1124,रामनगर धौरहरा,,ग्रामीण,5700,7800,9700,36000,33000,30000,125,72,63,60,83,42,
sohawal,37,125,1125,रामपुर ग्रन्ट,,ग्रामीण,3100,4000,5200,30000,27000,24000,72,43,37,36,46,24,
sohawal,37,126,1126,रैथुवा,,ग्रामीण,3600,4700,6100,32000,29000,26000,82,49,42,41,52,28,
sohawal,37,127,1127,राजापुर माफी,,ग्रामीण,3200,4200,5500,32000,29000,23000,76,45,39,38,48,25,"godown 23000 as printed, confirmed at 400dpi (similar rows 26000)"
sohawal,37,128,1128,रसूलपुर सकरावल,,ग्रामीण,3100,4000,5200,30000,27000,24000,72,43,37,36,46,24,
sohawal,37,129,1129,रौनाही उपरहर,,ग्रामीण,9400,14000,17500,43000,40000,35000,152,88,80,71,102,54,
sohawal,37,130,1130,रौनाही माझा,,ग्रामीण,1500,1800,2900,28000,25000,22000,34,21,21,19,23,12,
sohawal,37,131,1131,लहरापुर,,ग्रामीण,4400,5200,6700,32000,29000,26000,76,45,39,38,48,25,
sohawal,38,132,1132,लखौरी,,ग्रामीण,6400,12000,13500,40000,37000,34000,143,82,74,69,94,47,
sohawal,38,133,1133,सोफियापारा,,अर्द्धनगरीय,4100,5500,6800,33000,30000,27000,94,56,49,48,60,31,
sohawal,38,134,1134,सरैया,,अर्द्धनगरीय,4500,6100,7200,33000,30000,27000,103,63,54,50,68,34,
sohawal,38,135,1135,सथरी,,अर्द्धनगरीय,7400,10200,13000,40000,37000,34000,144,84,75,68,93,47,
sohawal,38,136,1136,साखूपारा,,अर्द्धनगरीय,8200,10000,13000,40000,37000,34000,150,87,79,71,97,49,
sohawal,38,137,1137,सिडहिर नरसिंहपुर,,अर्द्धनगरीय,5800,7900,9800,35000,32000,29000,140,79,71,66,89,49,
sohawal,38,138,1138,सरियावा,,अर्द्धनगरीय,8700,12500,16500,42000,39000,36000,162,94,85,77,106,52,
sohawal,38,139,1139,सलारपुर,,अर्द्धनगरीय,8700,12500,16500,42000,39000,36000,162,94,85,77,106,55,
sohawal,38,140,1140,सरायनामू,,ग्रामीण,3000,3800,4800,30000,27000,24000,72,44,38,35,47,26,
sohawal,38,141,1141,सनाहा उपरहर,,ग्रामीण,3000,3800,4800,30000,27000,24000,72,44,38,35,47,26,
sohawal,38,142,1142,सनाहा मांझा,,ग्रामीण,1500,1800,2900,28000,25000,22000,34,21,21,19,23,12,
sohawal,38,143,1143,सीबार,,ग्रामीण,3000,3900,5000,31000,28000,25000,69,41,36,35,44,24,
sohawal,38,144,1144,सरजूपुर उपरहर,,ग्रामीण,2700,3400,4500,30000,27000,24000,67,40,35,34,43,23,
sohawal,38,145,1145,सरजूपुर मांझा,,ग्रामीण,1400,1700,2800,28000,25000,22000,34,21,21,19,23,12,
sohawal,38,146,1146,सिहैता लोहानी,,ग्रामीण,2800,3500,4600,30000,27000,24000,68,41,36,35,44,24,
sohawal,38,147,1147,सांरगापुर,,ग्रामीण,3300,4300,5500,30000,27000,24000,77,46,46,44,49,26,
sohawal,38,148,1148,साल्हेपुर निमैचा,,ग्रामीण,8400,14000,17500,44000,40000,36000,161,91,82,74,101,54,
sohawal,38,149,1149,सफीपुर माझा,,ग्रामीण,1500,1800,2900,28000,25000,22000,34,21,21,19,23,12,
sohawal,38,150,1150,सोहावल,,ग्रामीण,9200,14000,17500,44000,40000,36000,161,91,94,74,101,54,col13 94 > col12 91 as printed (confirmed at 400dpi)
sohawal,38,151,1151,शेखपुर जाफर,,ग्रामीण,8300,11500,17500,44000,40000,36000,157,90,81,74,101,53,
sohawal,39,152,1152,सुरवारी,,ग्रामीण,2800,3600,4600,30000,27000,24000,68,41,36,35,44,24,
sohawal,39,153,1153,सोखावां,,ग्रामीण,3300,4300,5500,30000,27000,24000,77,46,39,36,50,27,
sohawal,39,154,1154,हाजीपर सिंहपुर,,अर्द्धनगरीय,9500,15000,20500,45000,42000,40000,222,138,117,106,150,74,
sohawal,39,155,1155,हरीपुर जलालाबाद,,अर्द्धनगरीय,8400,11500,17500,43000,40000,37000,168,96,85,77,96,57,
sohawal,39,156,1156,हुसेपुर,,अर्द्धनगरीय,4400,5900,7400,34000,31000,28000,79,47,41,39,53,26,
sohawal,39,157,1157,हाजीपुर बरसेण्डी उपरहरर,,ग्रामीण,6100,10000,12400,38000,35000,32000,134,77,67,62,83,45,
sohawal,39,158,1158,हाजीपुर बरसेण्डी माझा,,ग्रामीण,1500,1800,2900,28000,25000,22000,34,21,21,19,23,12,
sohawal,39,159,1159,हरबन्धनपुर,,ग्रामीण,2300,3500,4500,30000,27000,24000,67,40,35,34,43,23,
