sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sadar,72,23. गोशाईंगंज में अकबरपुर रोड (बा.टा.ए.) आदर्श एकेडमी तक तथा भारत पेट्रोलियम (वर्मा ट्रांसपोर्ट) से टा0ए0सीमा तक,पकरेला,,14700,52200,48400,44400,
sadar,72,23. गोशाईंगंज में अकबरपुर रोड (बा.टा.ए.) आदर्श एकेडमी तक तथा भारत पेट्रोलियम (वर्मा ट्रांसपोर्ट) से टा0ए0सीमा तक,कटरा गोशाईगंज,,14700,52200,48400,44400,
sadar,72,24. बाला पैकौली रोड (अ.टा.ए.),कटरा गोशाईगंज,,14700,52200,48400,44400,
sadar,72,25. जलालुददीन नगर में अकबरपुर रोड पर संकट मोचन हनुमान मंदिर से बच्चू लाल इं0का0 तक,जलालुद्दीन नगर,,10900,47100,43300,39300,
sadar,72,26. लखनऊ रोड टी0 वी0 टावर चौराहे से डी0एम0 बंगला होते हए मऊ शिवाला रोड पर 4 लेन पुल तक,अब्बूसराय,,33200,77400,73600,69600,
sadar,72,26. लखनऊ रोड टी0 वी0 टावर चौराहे से डी0एम0 बंगला होते हए मऊ शिवाला रोड पर 4 लेन पुल तक,गद्दोपुर,,33200,77400,73600,69600,
sadar,72,26. लखनऊ रोड टी0 वी0 टावर चौराहे से डी0एम0 बंगला होते हए मऊ शिवाला रोड पर 4 लेन पुल तक,खोजनपुर,,33200,77400,73600,69600,
sadar,72,27. इसी रोड पर 4 लेन पुल के नीचे से मऊ शिवाला चौराहे तक,गद्दोपुर,,18200,57000,53200,49200,
sadar,72,27. इसी रोड पर 4 लेन पुल के नीचे से मऊ शिवाला चौराहे तक,पलिया शाहबदी,,18200,57000,53200,49200,
sadar,72,28. सिविल लाइन्स पेट्रोल पम्प से होंडा एजेन्सी होते हुए फतेहगंज चौराहे तक,कसाबबाड़ा,,33200,77400,73600,69600,
sadar,72,28. सिविल लाइन्स पेट्रोल पम्प से होंडा एजेन्सी होते हुए फतेहगंज चौराहे तक,सिविल लाईन,,33200,77400,73600,69600,
sadar,72,28. सिविल लाइन्स पेट्रोल पम्प से होंडा एजेन्सी होते हुए फतेहगंज चौराहे तक,खिड़की अलीबेग,,33200,77400,73600,69600,
sadar,73,29. देवकाली तिराहे से बेनीगंज तिराहे तक,बछड़ा सुल्तानपुर,,29300,72100,68300,64300,
sadar,73,29. देवकाली तिराहे से बेनीगंज तिराहे तक,देवकाली,,29300,72100,68300,64300,
sadar,73,29. देवकाली तिराहे से बेनीगंज तिराहे तक,शाहजहांपुर,,29300,72100,68300,64300,
sadar,73,30. मोदहा चौराहे से राम नगर होते हुए इलाहाबाद मार्ग तक,खोजनपुर,,37000,82600,78800,74800,
sadar,73,30. मोदहा चौराहे से राम नगर होते हुए इलाहाबाद मार्ग तक,पहाड़गंज,,37000,82600,78800,74800,
sadar,73,30. मोदहा चौराहे से राम नगर होते हुए इलाहाबाद मार्ग तक,राम नगर,,37000,82600,78800,74800,
sadar,73,31. मोदहा चौराहे से गद्दौपुर चौराहे (चुंगी चौराहा) तक,सिविल लाइन,,37000,82600,78800,74800,
