sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,089,180,,जालपानाला,अमानीगंज,नगरीय,12300,13500,14400,52200,48200,44100,,,,,,,
sadar,089,181,,जियनपुर,हवेली अवध,अर्द्धनगरीय,7400,7900,8600,43300,39300,35200,220,179,161,157,220,98,
sadar,089,182,,जे बी पुरम कालोनी,सिविल लाइन,नगरीय,10900,12100,13100,47000,43500,40000,,,,,,,
sadar,089,183,,जे0टी0सी0,मोती बाग,नगरीय,14000,15400,18400,57600,53600,49500,,,,,,,
sadar,089,184,,जैता,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,089,185,,झारखण्डी,झारखण्डी,नगरीय,11600,12800,14700,52200,48200,44100,,,,,,,
sadar,089,186,,झुनकीघाट,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,089,187,,टकसाल,चौक,नगरीय,27900,31400,33300,78400,74400,70300,,,,,,,
sadar,089,188,,टण्डौली,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,089,189,,टेढ़ी बाजार,बाग विजैसी,नगरीय,8800,9700,10800,44800,40800,36700,,,,,,,
sadar,089,190,,टेढी बाजार (चौक),चौक,नगरीय,28400,31900,37800,83700,79700,75600,,,,,,,
sadar,089,191,,टोनिया बिहारीपुर,हवेली अवध,अर्द्धनगरीय,4400,4900,5400,39600,35600,31500,95,77,68,66,95,43,
sadar,089,192,,ट्रान्सपोर्टनगर वि0प्रा0,सिविल लाइन,नगरीय,12000,12600,13500,47000,43500,40000,,,,,,,
sadar,089,193,,ठठरहिया,अंगूरीबाग,नगरीय,14900,15800,16700,55300,51300,47200,,,,,,,
sadar,089,194,,डाभासेमर,हवेली अवध,अर्द्धनगरीय,5800,6700,6900,41900,37900,33800,157,125,114,112,157,70,
sadar,089,195,,तकपुरा,हवेली अवध,अर्द्धनगरीय,7000,7400,7900,43100,39100,35000,256,208,188,184,256,116,
sadar,089,196,,तार गौहन,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,089,197,,तारापुर रजौली,हवेली अवध,नगरीय,8900,9800,10800,45700,41700,37600,279,228,201,196,279,127,
sadar,089,198,,ताहिरपुर बरौली,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,089,199,,तिहुरा उपरहार,हवेली अवध,अर्द्धनगरीय,5200,5400,6400,39600,35600,31500,92,75,66,65,92,42,
sadar,089,200,,तिहुरा मांझा,हवेली अवध,अर्द्धनगरीय,5100,5300,6300,39000,35500,32000,69,57,54,51,69,33,
sadar,089,201,,तुलसी बाड़ी,मीरापुर द्वाबा उपरहार,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,089,202,,तुलसीनगर,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,089,203,,तेलियागढ़ उत्तरी,टाउन एरिया गोशाईगंज,अर्द्धनगरीय,7700,8500,9300,48200,44200,40100,235,194,172,169,235,107,
sadar,090,204,,तेलियागढ़ दक्षिणी,टाउन एरिया गोशाईगंज,अर्द्धनगरीय,7700,8500,9300,48200,44200,40100,235,194,172,169,235,107,
sadar,090,205,,तेलियागढ़ पूर्वी,टाउन एरिया गोशाईगंज,अर्द्धनगरीय,7700,8500,9300,48200,44200,40100,235,194,172,169,235,107,
sadar,090,206,,तेलीटोला,अंगूरीबाग,नगरीय,11500,14200,15100,52800,48800,44700,,,,,,,
sadar,090,207,,तोगपुर,हवेली अवध,नगरीय,10800,11900,12600,48600,44600,40500,279,228,201,196,279,127,
sadar,090,208,,त्रिलोकपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,209,,दतौली,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,210,,ददेरा,हवेली अवध,अर्द्धनगरीय,4200,4500,4800,36800,32800,28700,62,51,43,42,62,29,
sadar,090,211,,दन्तधावन कुण्ड,बरहटा उपरहार,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,090,212,,दमोदरपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,213,,दर्शन नगर,रानोपाली,अर्द्धनगरीय,7000,7400,7900,43100,39100,35000,157,125,114,112,157,70,
sadar,090,214,,दलपतपुर उपरहार,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,215,,दलपतपुर माझा,अमसिन,ग्रामीण,2000,2200,2600,32300,28800,25300,29,23,21,20,29,14,
sadar,090,216,,दलीपपुर उर्फ़ देवगढ़,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,217,,दालमण्डी,दालमण्डी,नगरीय,14900,17400,19200,58900,54900,50800,,,,,,,
sadar,090,218,,दिलकुशा,दिल्ली दरवाजा,नगरीय,12600,13700,14400,52200,48200,44100,,,,,,,
sadar,090,219,,दिल्ली दरवाजा,दिल्ली दरवाजा,नगरीय,12600,13700,14400,52200,48200,44100,,,,,,,
sadar,090,220,,दिवानी मिसिल,दिल्ली दरवाजा,नगरीय,12600,13700,14400,52200,48200,44100,,,,,,,
sadar,090,221,,दीनापुर,अमसिन,ग्रामीण,1900,2100,2600,32900,29400,25900,53,43,38,36,53,24,
sadar,090,222,,दुर्गापुर,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,090,223,,दुर्गापुर रमपुरवा,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,224,,दुल्लापुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,225,,देवकाली अं.न.पा.,हवेली अवध,नगरीय,12200,13300,14200,50700,46700,42600,464,386,341,332,464,208,
sadar,090,226,,देवकालीBNP,हवेली अवध,अर्द्धनगरीय,8200,9000,9900,47800,43800,39700,328,268,243,238,328,149,
sadar,090,227,,देवगिरिया,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,228,,देवरा दाउदपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,229,,देवापुर,अमसिन,ग्रामीण,2400,2600,3100,32900,29400,25900,64,51,45,44,64,29,
sadar,090,230,,देवासूर्यभानपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,090,231,,दोराही कुंआ,कोट राम चन्दर,नगरीय,8300,9100,10000,43300,39300,35200,,,,,,,
sadar,090,232,,द्वारिका पुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,091,233,,धनीराम का पुरवा (जनौरा),जनौरा,नगरीय,10800,11600,12100,46700,42700,38600,,,,,,,
sadar,091,234,,धनीराम का पुरवा (झारखण्डी),झारखण्डी,नगरीय,11400,12300,13900,51500,47500,43400,,,,,,,
sadar,091,235,,धनैजा,अवध खास,नगरीय,8700,9600,10500,43300,39300,35200,,,,,,,
sadar,091,236,,धरमपुर सहादत,हवेली अवध,अर्द्धनगरीय,4300,4600,5000,37700,33700,29600,64,52,44,43,64,28,
sadar,091,237,,धारूपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,091,238,,नई कालोनी,झारखण्डी,नगरीय,11400,12600,14400,52200,48200,44100,,,,,,,
sadar,091,239,,नकटवारा,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,091,240,,नक्खास,मोती बाग,नगरीय,17800,25000,27000,81800,77800,73700,,,,,,,
sadar,091,241,,नजरबाग,कोट राम चन्दर,नगरीय,8500,9400,10500,43300,39300,35200,,,,,,,
sadar,091,242,,नन्दापुर,हवेली अवध,अर्द्धनगरीय,4300,4600,5000,37700,33700,29600,73,59,53,52,73,32,
sadar,091,243,,नययर कालोनी,सिविल लाइन,नगरीय,20600,24200,25500,57600,53600,49500,,,,,,,
sadar,091,244,,नया पुरवा आ0 योजना(वि0प्रा0),रेतिया,नगरीय,11200,13200,15400,53600,49600,45500,,,,,,,
sadar,091,245,,नयाघाट,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,091,246,,नयापुरवा (नियांवा),नियावां,नगरीय,11400,12900,14400,52200,48200,44100,,,,,,,
