sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
milkipur,48,78,1078,गिरधरामऊ,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,65,60,55,75,34,
milkipur,48,79,1079,गौहन्ना कानूनगो,,ग्रामीण,8000,9000,10000,35000,33000,31000,95,65,60,55,75,34,
milkipur,48,80,1080,घाटमपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,53,46,43,60,30,
milkipur,48,81,1081,घोड़वल,,ग्रामीण,13000,14000,15000,41000,39000,38000,125,70,65,55,90,35,
milkipur,48,82,1082,घुरेहटा,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,88,33,
milkipur,48,83,1083,घटौली,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,88,33,
milkipur,48,84,1084,चिरौली,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,60,50,45,65,30,
milkipur,48,85,1085,चकवारा,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,60,50,45,65,30,
milkipur,48,86,1086,चकनथा,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,60,50,45,65,30,
milkipur,48,87,1087,चन्दौरा,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,60,50,45,65,30,
milkipur,48,88,1088,चमरूपुर,,ग्रामीण,6200,7000,7500,32000,29000,27000,0,50,45,42,60,28,
milkipur,48,89,1089,चितौरा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,50,45,70,35,
milkipur,49,90,1090,चिखड़ी,,ग्रामीण,11000,12000,13000,40000,37000,36000,0,70,65,60,85,36,
milkipur,49,91,1091,चमैला,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,70,60,55,80,35,
milkipur,49,92,1092,चौधरीपुर,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,51,46,41,60,30,
milkipur,49,93,1093,छिवली,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,52,47,42,62,31,
milkipur,49,94,1094,जोरियम,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,65,60,50,75,35,
milkipur,49,95,1095,जिगनाही,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,50,45,43,55,29,
milkipur,49,96,1096,जगदीशपुर,,ग्रामीण,6500,7500,8000,32000,30000,28000,0,49,44,42,54,28,
milkipur,49,97,1097,जाफरनगर,,ग्रामीण,6500,7500,8000,32000,30000,28000,0,49,44,42,54,28,
milkipur,49,98,1098,जयराजपुर,,ग्रामीण,7000,8000,9000,32000,31000,29000,0,50,45,43,55,29,
milkipur,49,99,1099,जगन्नाथपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,50,45,43,55,29,
milkipur,49,100,1100,जमुवा,,ग्रामीण,7000,8000,9000,34000,31000,29000,0,50,46,43,56,32,
milkipur,49,101,1101,जाखा,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,55,50,45,61,34,
milkipur,49,102,1102,झबरा,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,55,50,45,61,34,
milkipur,49,103,1103,टिकरा,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,50,45,43,55,29,
milkipur,49,104,1104,टण्डवा,,ग्रामीण,11000,13000,16000,42000,40000,38000,0,60,55,50,70,36,
milkipur,49,105,1105,टकसरा,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,75,37,
milkipur,49,106,1106,टोडरपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,50,45,43,55,29,
milkipur,50,107,1107,टिकटी,,ग्रामीण,7000,8000,9000,34000,31000,29000,0,51,46,43,60,29,
milkipur,50,108,1108,डीलीगिरधर,,ग्रामीण,12000,13000,14000,39000,37000,35000,125,65,55,50,75,39,
