sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sohawal,31,मऊयदुवंशपुर मे तहसील फैजाबाद की सीमा से साखूपारा प्राथमिक विद्यालय तक(फैजाबाद रायबरेली रोड पर),संरियावा,1138,19000,44000,40000,37000,
sohawal,31,साखूपारा प्राथमिक विद्यालय से नउवाकुआं के दक्षिण भदरसा मोड तक(फैजाबाद रायबरेली रोड पर ),साखूपारा,1136,18000,44000,40000,37000,
sohawal,31,साखूपारा प्राथमिक विद्यालय से नउवाकुआं के दक्षिण भदरसा मोड तक(फैजाबाद रायबरेली रोड पर ),सरियावां,1138,19000,44000,40000,37000,
sohawal,31,साखूपारा प्राथमिक विद्यालय से नउवाकुआं के दक्षिण भदरसा मोड तक(फैजाबाद रायबरेली रोड पर ),सथरी,1135,18000,42000,38000,35000,
sohawal,31,साखूपारा प्राथमिक विद्यालय से नउवाकुआं के दक्षिण भदरसा मोड तक(फैजाबाद रायबरेली रोड पर ),अमौना,1005,17500,39000,36000,33000,
sohawal,31,साखूपारा प्राथमिक विद्यालय से नउवाकुआं के दक्षिण भदरसा मोड तक(फैजाबाद रायबरेली रोड पर ),दौलतपुर,1058,18000,42000,38000,35000,
sohawal,31,खानपुर मसौधा में फैजाबाद तहसील की सीमा से लेप्रोसी मिशन तक (फैजाबाद से इलाहाबाद रोड पर),खानपुर मसौधा,1029,21000,52000,48000,45000,
sohawal,31,खानपुर मसौधा में फैजाबाद तहसील की सीमा से लेप्रोसी मिशन तक (फैजाबाद से इलाहाबाद रोड पर),माधवपुर,1102,18500,47000,43000,40000,
sohawal,31,खानपुर मसौधा में फैजाबाद तहसील की सीमा से लेप्रोसी मिशन तक (फैजाबाद से इलाहाबाद रोड पर),मैनुउददीनपुर,1101,18500,48000,43000,41000,
sohawal,31,रौनाही थाने से जुबेर गंज पशु बाजार तक।,शेखपुर जाफर,1551,19000,46000,42000,38000,vcode printed 1551; प्रारूप-4 lists शेखपुर जाफर as 1151
sohawal,31,रौनाही थाने से जुबेर गंज पशु बाजार तक।,रौनाही,1129,19000,46000,42000,38000,
sohawal,31,रौनाही थाने से जुबेर गंज पशु बाजार तक।,साल्हेपुर निमैचा,1148,19000,46000,42000,38000,
sohawal,31,रौनाही थाने से जुबेर गंज पशु बाजार तक।,कटरौली,1022,18000,42000,39000,34000,
sohawal,31,ज्वाला माई मन्दिर से सोहावल बाजार होते हुए लखनऊ फैजाबाद मार्ग तक।,खिरौनी,1028,18000,48000,45000,32000,
sohawal,31,ज्वाला माई मन्दिर से सोहावल बाजार होते हुए लखनऊ फैजाबाद मार्ग तक।,साल्हेपुर निमैचा,1148,18000,46000,42000,32000,
sohawal,31,ज्वाला माई मन्दिर से सोहावल बाजार होते हुए लखनऊ फैजाबाद मार्ग तक।,रौनाही,1129,19000,46000,42000,32000,
sohawal,31,लखनऊ रोड से ढेमुवा नहर तक,रौनाही,1129,19000,46000,42000,32000,
sohawal,31,डयोढी बाजार ईदगाह से प्रकाश गुप्ता के लोहे की दुकान तक।,बभनियावां,1090,10000,35000,31500,25000,
sohawal,31,डयोढी बाजार ईदगाह से प्रकाश गुप्ता के लोहे की दुकान तक।,कुन्दुर्खाखुर्द,1027,13000,39000,36000,29000,
